SMILES,measurement_type,measurement_value,Kinase_name
C#CCCOC(=O)N1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C(C#N)C1,pIC50,6.81,JAK2
C#CCCOC(=O)N1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C(C#N)C1,pIC50,8.05,JAK1
C#CCN(c1ccc(C#N)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,pIC50,10.26,JAK2
C#CCN(c1ccc(C#N)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,pIC50,10.26,JAK1
C#CCNCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,7.36,JAK2
C#CCNCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,8.07,JAK1
C#CCNCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,6.57,TYK2
C=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,7.57,JAK2
C=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,8.09,JAK1
C=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,6.92,TYK2
C=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,6.15,JAK3
C=C1Cn2c3ccccc3c3c4c(c5c6ccccc6n(c5c32)C1)C(=O)NC4,pIC50,7.14,JAK1
C=C1Cn2c3ccccc3c3c4c(c5c6ccccc6n(c5c32)C1)C(=O)NC4,pIC50,7.14,JAK3
C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,pIC50,7.98,JAK1
C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,pIC50,7.98,JAK3
C=CC(=O)Nc1ccc(CNc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2Cl)cc1,pIC50,9.06,JAK1
C=CC(=O)Nc1ccc(CNc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2Cl)cc1,pIC50,9.06,JAK3
C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(N4CCC(O)CC4)c(F)c3)ncc2Cl)c1,pIC50,8.13,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(N4CCC(O)CC4)c(F)c3)ncc2Cl)c1,pIC50,8.13,JAK3
C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(N4CCOCC4)c(F)c3)ncc2Cl)c1,pIC50,6.45,JAK2
C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(N4CCOCC4)c(F)c3)ncc2Cl)c1,pIC50,7.7,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(N4CCOCC4)c(F)c3)ncc2Cl)c1,pIC50,7.7,JAK3
C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(OCCN4CCOCC4)c(F)c3)ncc2Cl)c1,pIC50,8.21,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(OCCN4CCOCC4)c(F)c3)ncc2Cl)c1,pIC50,8.21,JAK3
C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(N4CCOCC4)cc3F)ncc2Cl)c1,pIC50,8.28,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(N4CCOCC4)cc3F)ncc2Cl)c1,pIC50,8.28,JAK3
C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCOCC4)c(F)c3)ncc2Cl)c1,pIC50,9.05,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCOCC4)c(F)c3)ncc2Cl)c1,pIC50,9.05,JAK3
C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2Cl)c1,pIC50,7.75,JAK2
C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2Cl)c1,pIC50,8.89,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2Cl)c1,pIC50,8.89,JAK3
C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCOCC4)cc3F)ncc2Cl)c1,pIC50,8.85,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCOCC4)cc3F)ncc2Cl)c1,pIC50,8.85,JAK3
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(C(F)F)c3)ncc2Cl)c1,pIC50,8.85,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(C(F)F)c3)ncc2Cl)c1,pIC50,8.85,JAK3
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(C4CCOCC4)c3)ncc2Cl)c1,pIC50,9.15,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(C4CCOCC4)c3)ncc2Cl)c1,pIC50,9.15,JAK3
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CC(=O)N4CCOCC4)c3)ncc2Cl)c1,pIC50,9.22,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CC(=O)N4CCOCC4)c3)ncc2Cl)c1,pIC50,9.22,JAK3
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CC(=O)NCC(F)(F)F)c3)ncc2Cl)c1,pIC50,9.3,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CC(=O)NCC(F)(F)F)c3)ncc2Cl)c1,pIC50,9.3,JAK3
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CCO)c3)ncc2Cl)c1,pIC50,7.49,JAK2
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CCO)c3)ncc2Cl)c1,pIC50,7.96,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CCO)c3)ncc2Cl)c1,pIC50,6.85,TYK2
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CCOC(F)F)c3)ncc2Cl)c1,pIC50,9.15,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CCOC(F)F)c3)ncc2Cl)c1,pIC50,9.15,JAK3
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CCOCCOCCOCCNC(=O)CCCCC4SCC5NC(=O)NC54)c3)ncc2Cl)c1,pIC50,6.38,JAK2
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CCOCCOCCOCCNC(=O)CCCCC4SCC5NC(=O)NC54)c3)ncc2Cl)c1,pIC50,8.64,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CCOCCOCCOCCNC(=O)CCCCC4SCC5NC(=O)NC54)c3)ncc2Cl)c1,pIC50,8.64,JAK3
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnoc3)ncc2Cl)c1,pIC50,8.54,JAK1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnoc3)ncc2Cl)c1,pIC50,8.54,JAK3
C=CC(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccccc4)c23)c1,pIC50,10.8,JAK1
